Person,Date,Hours,Description
frau,24.11.2017,4h,"Implemented Linear Regression in DecionTrees NBA stats"
lsch,24.11.2017,4h,"Recommender Systems basic model"
frau,26.11.2017,6h,"Work on MT Analysis and DT"
lsch,27.11.2017,3h,"Work on DataFrameMapper for MT, Algorithmic research"
frau,27.11.2017,4h,"Created DataFrameMapper for MT, implemented groupby(org).groupby(media).sum(amount)"
lsch,03.12.2017,5h,"MediaTransparenz try and error -> Prediction accuracy"
frau,06.12.2017,6h,"Implemented DF for percentage of spendings of organsiations for media"
frau,12.12.2017,4h,"Work on MT Analysis DataFrameMapper"
lsch,15.12.2017,5h,"Created/imported FlightData files"
frau,15.12.2017,5h,"Created/imported FlightData files"
frau,19.12.2017,4h,"Work on FlightAnalysis"
lsch,19.12.2017,4h,"Work on FlightAnalysis"
frau,20.12.2017,3h,"Work on FlightData LR model"
frau,15.01.2018,8h,"Work on FlightAnalysis"
frau,17.01.2018,4h,"Work on DataMapper for FlightData"
lsch,19.01.2017,4h,"Decision Tree FlightData"
frau,19.01.2018,3h,"Decision Tree FlightData"
frau,21.01.2018,3h,"Implemented Decision Tree FlightData"
frau,23.01.2018,3h,"Flight Data Logistic Regression"
lsch,23.01.2018,3h,"Flight Data Logistic Regression"
frau,24.01.2018,4h,"Work on KMeans MT Data"
frau,26.01.2018,3h,"Work on KMeans MT Data"
lsch,26.01.2018,3h,"Work on KMeans MT Data"
frau,29.01.2018,4h,"KMeans Feauture Vector"
frau,30.01.2018,3h,"KMeans RDD conversion feature vector"
frau,31.01.2018,3h,"KMeans pivot table done"


